Price,Dien Tich,Do Rong Mat Duong,So Tang,Khoang Cach
3.25 tỷ,30 m2,"1,5m",4,"Đường Đê La Thành, Phường Giảng Võ, Quận Ba Đình, Hà Nội"
2.8 tỷ,31 m2,"2,5m",3,"Phố Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
1.4 tỷ,14 m2,2m,1,"Phố Cửa Bắc, Phường Trúc Bạch, Quận Ba Đình, Hà Nội"
4.85 tỷ,52 m2,"2,5m",3,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
4.6 tỷ,37 m2,3m,5,"Phố Núi Trúc, Phường Giảng Võ, Quận Ba Đình, Hà Nội"
21 tỷ,78 m2,60m,8,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
12 tỷ,70 m2,2m,8,"Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
12.2 tỷ,50 m2,3m,5,"Phố Liễu Giai, Phường Cống Vị, Quận Ba Đình, Hà Nội"
11.5 tỷ,70 m2,6m,5,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
29.9 tỷ,90 m2,4m,9,"Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
27 tỷ,230 m2,4m,4,"Đường Hoàng Hoa Thám, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
30.5 tỷ,205 m2,3m,4,"Phố Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội"
17.5 tỷ,95 m2,5m,4,"Phố Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
16.5 tỷ,60 m2,6m,5,"Phố Láng Hạ, Phường Thành Công, Quận Ba Đình, Hà Nội"
19 tỷ,200 m2,4m,3,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
45 tỷ,165 m2,3m,9,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
